time,x,y,z,vx,vy,vz
6.40000000,0.00622402,0.11153667,0.00000000,0.06156895,0.99935442,0.00000000
6.50000000,0.02231883,0.21035953,0.00000000,0.16094810,0.98822857,0.00000000
6.60000000,0.04819101,0.30708403,0.00000000,0.25872178,0.96724508,0.00000000
6.70000000,0.08358248,0.40074536,0.00000000,0.35391470,0.93661325,0.00000000
6.80000000,0.12814021,0.49040922,0.00000000,0.44557729,0.89663865,0.00000000
6.90000000,0.18141973,0.57518123,0.00000000,0.53279523,0.84772003,0.00000000
7.00000000,0.24288958,0.65421576,0.00000000,0.61469849,0.79034534,0.00000000
7.10000000,0.31193659,0.72672445,0.00000000,0.69047011,0.72508691,0.00000000
7.20000000,0.38787202,0.79198402,0.00000000,0.75935424,0.65259570,0.00000000
7.30000000,0.46993839,0.84934350,0.00000000,0.82066376,0.57359480,0.00000000
7.40000000,0.55731710,0.89823073,0.00000000,0.87378711,0.48887225,0.00000000
7.50000000,0.64913654,0.93815804,0.00000000,0.91819439,0.39927318,0.00000000
7.60000000,0.74448080,0.96872718,0.00000000,0.95344261,0.30569133,0.00000000
7.70000000,0.84239882,0.98963320,0.00000000,0.97918019,0.20906019,0.00000000
7.80000000,0.94191386,1.00066756,0.00000000,0.99515038,0.11034366,0.00000000
7.90000000,1.04203325,1.00172021,0.00000000,1.00119388,0.01052645,0.00000000
8.00000000,1.14175829,0.99278063,0.00000000,0.99725042,-0.08939577,0.00000000
8.10000000,1.24009422,0.97393800,0.00000000,0.98335932,-0.18842626,0.00000000
8.20000000,1.33606014,0.94538029,0.00000000,0.95965914,-0.28557718,0.00000000
8.30000000,1.42869877,0.90739234,0.00000000,0.92638631,-0.37987945,0.00000000
8.40000000,1.51708604,0.86035310,0.00000000,0.88387272,-0.47039240,0.00000000
8.50000000,1.60034028,0.80473178,0.00000000,0.83254244,-0.55621316,0.00000000
8.60000000,1.67763103,0.74108322,0.00000000,0.77290750,-0.63648566,0.00000000
8.70000000,1.74818731,0.67004230,0.00000000,0.70556276,-0.71040917,0.00000000
8.80000000,1.81130531,0.59231767,0.00000000,0.63117999,-0.77724631,0.00000000
8.90000000,1.86635542,0.50868463,0.00000000,0.55050115,-0.83633037,0.00000000
9.00000000,1.91278853,0.41997744,0.00000000,0.46433103,-0.88707198,0.00000000
9.10000000,1.95014145,0.32708094,0.00000000,0.37352919,-0.92896499,0.00000000
9.20000000,1.97804158,0.23092179,0.00000000,0.27900136,-0.96159151,0.00000000
9.30000000,1.99621063,0.13245917,0.00000000,0.18169048,-0.98462611,0.00000000
9.40000000,2.00446735,0.03267528,0.00000000,0.08256723,-0.99783899,0.00000000
9.50000000,2.00272939,-0.06743456,0.00000000,-0.01737964,-1.00109837,0.00000000
9.60000000,1.99101407,-0.16687173,0.00000000,-0.11715315,-0.99437173,0.00000000
9.70000000,1.96943827,-0.26464435,0.00000000,-0.21575804,-0.97772617,0.00000000
9.80000000,1.93821720,-0.35977712,0.00000000,-0.31221074,-0.95132773,0.00000000
9.90000000,1.89766228,-0.45132110,0.00000000,-0.40554911,-0.91543974,0.00000000
10.00000000,1.84817807,-0.53836312,0.00000000,-0.49484211,-0.87042018,0.00000000
10.10000000,1.79025817,-0.62003493,0.00000000,-0.57919902,-0.81671812,0.00000000
10.20000000,1.72448033,-0.69552185,0.00000000,-0.65777839,-0.75486925,0.00000000
10.30000000,1.65150069,-0.76407091,0.00000000,-0.72979638,-0.68549051,0.00000000
10.40000000,1.57204723,-0.82499830,0.00000000,-0.79453460,-0.60927396,0.00000000
10.50000000,1.48691250,-0.87769629,0.00000000,-0.85134730,-0.52697987,0.00000000
10.60000000,1.39694573,-0.92163920,0.00000000,-0.89966774,-0.43942912,0.00000000
10.70000000,1.30304433,-0.95638870,0.00000000,-0.93901395,-0.34749503,0.00000000
